[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run CheckRoute Behavior [ RunTime:0.000672s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ route_check ] --END-- [ RunTime:0.000739s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000381s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000427s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003265s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000356s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_template ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run LocationTemplate Behavior [ RunTime:0.000415s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_template ] --END-- [ RunTime:0.000467s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_parse ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run ParseTemplate Behavior [ RunTime:0.006162s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006218s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_filter ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run ContentReplace Behavior [ RunTime:0.000238s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run TokenBuild Behavior [ RunTime:0.000403s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000154s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run ShowRuntime Behavior [ RunTime:0.000303s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001221s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_end ] --START--
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Run ShowPageTrace Behavior [ RunTime:0.000319s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/drag | INFO: Tag[ view_end ] --END-- [ RunTime:0.000361s ]
[ 2012-07-05T14:03:08+08:00 ] /rbac.php/Public/menu | INFO: Tag[ route_check ] --START--
