[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run CheckRoute Behavior [ RunTime:0.000707s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000787s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000423s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000475s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003647s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000347s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003510s ]
[ 2012-07-05T16:02:41+08:00 ] /Index.php?s=/SetSystem/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000389s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run CheckRoute Behavior [ RunTime:0.000724s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000810s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000459s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000513s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003846s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000390s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003572s ]
[ 2012-07-05T16:02:42+08:00 ] /Index.php?s=/SetSystem/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000427s ]
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Run CheckRoute Behavior [ RunTime:0.000698s ]
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000775s ]
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ app_begin ] --START--
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000398s ]
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000444s ]
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003287s ]
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40658' AND `title`='bbb' LIMIT 1   [ RunTime:0.000421s ]
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Tag[ route_check ] --START--
[ 2012-07-05T16:02:43+08:00 ] /Index.php?s=/Index/test | INFO: Run CheckRoute Behavior [ RunTime:0.000687s ]
