[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003559s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000339s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.003073s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '签证及票务' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000372s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40990' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000324s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000313s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003441s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000348s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_om_baozhang` [ RunTime:0.007917s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 371 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 371 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002933s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 85 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002875s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000406s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 97 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 98 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_om_baozhang` [ RunTime:0.007402s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_baozhang` WHERE ( `type` = '签证' ) AND ( `datatype` = '报账单' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,40185,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',40185,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,40189,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',40189,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40187,') OR (`DUR` = '40150,40187,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40187,') OR (`DUR` = ',40187,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40191,') OR (`DUR` = '40178,40191,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40191,') OR (`DUR` = ',40191,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40190,') OR (`DUR` = '40150,40190,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40190,') OR (`DUR` = ',40190,40449') OR (`DUR` = ',,40449'))AND (`status_system` = '1')  [ RunTime:0.001337s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [2] Division by zero Page.class.php 第 75 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_baozhang` WHERE ( `type` = '签证' ) AND ( `datatype` = '报账单' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,40185,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',40185,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,40189,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',40189,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40187,') OR (`DUR` = '40150,40187,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40187,') OR (`DUR` = ',40187,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40191,') OR (`DUR` = '40178,40191,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40191,') OR (`DUR` = ',40191,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40190,') OR (`DUR` = '40150,40190,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40190,') OR (`DUR` = ',40190,40449') OR (`DUR` = ',,40449'))AND (`status_system` = '1') ORDER BY time desc LIMIT 0,20   [ RunTime:0.001277s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002965s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002753s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.005012s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_chanpin_baozhang` WHERE 1=1 AND chanpinID='31516' LIMIT 1   [ RunTime:0.000365s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002664s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002743s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.004914s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_chanpin_baozhang` WHERE 1=1 AND chanpinID='31447' LIMIT 1   [ RunTime:0.000304s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002577s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002611s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.005006s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | SQL: SELECT * FROM `myerpview_chanpin_baozhang` WHERE 1=1 AND chanpinID='31416' LIMIT 1   [ RunTime:0.000341s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | NOTIC: [8] Undefined variable: j MethodAction.class.php 第 588 行.
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Tag[ view_template ] --START--
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Run LocationTemplate Behavior [ RunTime:0.000628s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Tag[ view_template ] --END-- [ RunTime:0.000675s ]
[ 2012-08-20T17:04:59+08:00 ] /Index.php?s=/Chanpin/danxiangfuwu | INFO: Tag[ view_parse ] --START--
