[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.005581s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_chanpin_shoujia` [ RunTime:0.005550s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerp_chanpin_shoujia` WHERE 1=1 AND chanpinID='31193' LIMIT 1   [ RunTime:0.000404s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_dataCopy` [ RunTime:0.006346s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerp_dataCopy` WHERE `dataID` = '31175' and `datatype` = '线路' ORDER BY time desc LIMIT 1   [ RunTime:0.000539s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_datadictionary` [ RunTime:0.028716s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '2222' and `type` = '视频' LIMIT 1   [ RunTime:0.000769s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = 'tup ' and `type` = '图片' LIMIT 1   [ RunTime:0.000685s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '345353' and `type` = '图片' LIMIT 1   [ RunTime:0.000683s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_datadictionary` WHERE `title` = '尔特' and `type` = '图片' LIMIT 1   [ RunTime:0.000674s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.044057s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31176' LIMIT 1   [ RunTime:0.000525s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.004322s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.004665s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000477s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003988s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerpview_system_user` WHERE `title` = '我爱中华' LIMIT 1   [ RunTime:0.000523s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.003659s ]
[ 2012-07-13T09:49:32+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31176/xianluID/31175/shoujiaID/31193 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40893'  [ RunTime:0.000285s ]
