[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000198s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002489s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000449s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000443s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000439s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31353 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000375s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.002746s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000315s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002696s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000311s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002672s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000285s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002664s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '子团产品' LIMIT 1   [ RunTime:0.000289s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40990' LIMIT 1   [ RunTime:0.000260s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000257s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.004856s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31353' LIMIT 1   [ RunTime:0.000317s ]
[ 2012-07-31T11:17:41+08:00 ] /Index.php?s=/Chanpin/zituanxinxi/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerp_dataCopy` [ RunTime:0.002394s ]
