[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000365s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000325s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000338s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000310s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40178,,' ) LIMIT 1   [ RunTime:0.000313s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = '40178,40189,' ) LIMIT 1   [ RunTime:0.000315s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',40189,' ) LIMIT 1   [ RunTime:0.000311s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = null ) AND ( `datatype` = null ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000311s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002915s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerp_chanpin` WHERE `parentID` = '31322' and `marktype` = 'zituan' LIMIT 1   [ RunTime:0.000304s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run LocationTemplate Behavior [ RunTime:0.000362s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.080672s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_parse ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined variable: root_shenqing2 1fedcd21c0a14d3ef063592e15e947ae.php 第 64 行.
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined variable: root_shenhe 1fedcd21c0a14d3ef063592e15e947ae.php 第 67 行.
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ParseTemplate Behavior [ RunTime:0.003637s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.058428s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_filter ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ContentReplace Behavior [ RunTime:0.000049s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run TokenBuild Behavior [ RunTime:0.000044s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000012s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ShowRuntime Behavior [ RunTime:0.000053s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.060901s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_end ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000019s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.060735s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Use of undefined constant chanpinID - assumed 'chanpinID' ac068ce3b2b67211b72816510821cf7d.php 第 9 行.
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Use of undefined constant ischild - assumed 'ischild' ac068ce3b2b67211b72816510821cf7d.php 第 64 行.
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined index:  quanpei ac068ce3b2b67211b72816510821cf7d.php 第 119 行.
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | NOTIC: [8] Undefined index:  dipei ac068ce3b2b67211b72816510821cf7d.php 第 125 行.
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003063s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000313s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run LocationTemplate Behavior [ RunTime:0.000330s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.089699s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_parse ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ParseTemplate Behavior [ RunTime:0.001248s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.067424s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_filter ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ContentReplace Behavior [ RunTime:0.000040s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run TokenBuild Behavior [ RunTime:0.000039s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ShowRuntime Behavior [ RunTime:0.000051s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.067512s ]
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Tag[ view_end ] --START--
[ 2012-07-23T11:04:24+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31322 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000018s ]
