[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --START--
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run CheckRoute Behavior [ RunTime:0.001353s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --END-- [ RunTime:0.001493s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --START--
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000825s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000922s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003562s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000396s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003516s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000415s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002958s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerp_chanpin` WHERE `marktype` = 'dingdan' and `status` = '占位' AND (`status_system` = '1')  [ RunTime:0.000551s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1392 行.
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --START--
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run CheckRoute Behavior [ RunTime:0.000578s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ route_check ] --END-- [ RunTime:0.000643s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --START--
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000381s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000427s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003139s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000395s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003272s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000346s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002878s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | SQL: SELECT * FROM `myerp_chanpin` WHERE `marktype` = 'dingdan' and `status` = '占位' AND (`status_system` = '1')  [ RunTime:0.000540s ]
[ 2012-08-25T05:56:12+08:00 ] /Index.php?s=/Xiaoshou/cleardingdan | NOTIC: [2] Invalid argument supplied for foreach() MethodAction.class.php 第 1392 行.
