[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40990' LIMIT 1   [ RunTime:0.000321s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000307s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.023218s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31353' LIMIT 1   [ RunTime:0.000722s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.020119s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_chanpin_baozhang` WHERE `parentID` = '31353'  [ RunTime:0.000667s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.001485s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001589s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.005731s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000623s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000793s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.077774s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.027095s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027231s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000882s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000907s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001026s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000694s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003792s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000668s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000768s ]
[ 2012-08-01T10:04:28+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.006019s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000693s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000775s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.119206s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.008823s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.014187s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000110s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000097s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000023s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000117s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.019320s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000040s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.019099s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined index:  remark 2fcbd9cad3ba18227cc1339cd5aa2943.php 第 63 行.
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined index:  remark 2fcbd9cad3ba18227cc1339cd5aa2943.php 第 90 行.
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined index:  remark 2fcbd9cad3ba18227cc1339cd5aa2943.php 第 117 行.
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined index:  remark 2fcbd9cad3ba18227cc1339cd5aa2943.php 第 144 行.
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003728s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000369s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run LocationTemplate Behavior [ RunTime:0.000467s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.136079s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.001544s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.030668s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000044s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000042s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000011s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000056s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.028426s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000019s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.027858s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ParseTemplate Behavior [ RunTime:0.000078s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.030668s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ContentReplace Behavior [ RunTime:0.000171s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run TokenBuild Behavior [ RunTime:0.000140s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000012s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowRuntime Behavior [ RunTime:0.000088s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.028878s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --START--
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000019s ]
[ 2012-08-01T10:04:29+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ view_end ] --END-- [ RunTime:-0.028586s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ route_check ] --START--
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run CheckRoute Behavior [ RunTime:0.000742s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000831s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ app_begin ] --START--
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000468s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000526s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003221s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000354s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002975s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000293s ]
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\ChanpinAction.class.php on line 771 and defined MethodAction.class.php 第 814 行.
[ 2012-08-01T10:05:16+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31353 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 816 行.
