[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Run ShowRuntime Behavior [ RunTime:0.000686s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001620s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_end ] --START--
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000300s ]
[ 2012-07-25T11:35:30+08:00 ] /Index.php?s=/Xiaoshou/zituan/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000342s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ route_check ] --START--
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Run CheckRoute Behavior [ RunTime:0.000924s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001006s ]
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T11:35:31+08:00 ] /Index.php?s=/Xiaoshou/zituan/dobaoming/%E6%8A%A5%E5%90%8D/chanpinID/31180/xianluID/31175/shoujiaID/31294 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000663s ]
