[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.003240s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '成本售价' LIMIT 1   [ RunTime:0.000349s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40988' LIMIT 1   [ RunTime:0.000262s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000257s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002890s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerp_chanpin` WHERE `chanpinID` = '31175' LIMIT 1   [ RunTime:0.000200s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_chengben` [ RunTime:0.002955s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_chengben` [ RunTime:0.002893s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_chanpin_chengben` WHERE 1=1 AND parentID='31175'  [ RunTime:0.000342s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_shoujia` [ RunTime:0.003412s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_shoujia` [ RunTime:0.003142s ]
[ 2012-07-09T15:57:04+08:00 ] /Index.php?s=/Chanpin/chengbenshoujia/chanpinID/31175 | SQL: SELECT * FROM `myerpview_chanpin_shoujia` WHERE 1=1 AND parentID='31175'  [ RunTime:0.000367s ]
