[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000341s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002922s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000311s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002812s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '产品控管' LIMIT 1   [ RunTime:0.000280s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' LIMIT 1   [ RunTime:0.000261s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002684s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000310s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_om_chanpin` [ RunTime:0.002798s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 329 行.
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 329 行.
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002651s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = 40449  [ RunTime:0.000326s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 78 行.
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 79 行.
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_om_chanpin` [ RunTime:0.002714s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT DISTINCT  COUNT(*) AS tp_count FROM `myerpview_om_chanpin` WHERE ( `datatype` = '线路' ) AND ( `type` = '管理' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',,40449')) LIMIT 1   [ RunTime:0.000426s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | NOTIC: [2] Division by zero Page.class.php 第 75 行.
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_chanpin` WHERE ( `datatype` = '线路' ) AND ( `type` = '管理' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',,40449')) ORDER BY time desc LIMIT 0,20   [ RunTime:0.000500s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002914s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002709s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005002s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31322' LIMIT 1   [ RunTime:0.000361s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002777s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_xianlu` [ RunTime:0.002711s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerpview_chanpin_xianlu` [ RunTime:0.005016s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerpview_chanpin_xianlu` WHERE 1=1 AND chanpinID='31175' LIMIT 1   [ RunTime:0.000387s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | NOTIC: [8] Undefined variable: j MethodAction.class.php 第 542 行.
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002751s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerp_chanpin` WHERE `parentID` = '31322' and `marktype` = 'zituan'  [ RunTime:0.000317s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_zituan` [ RunTime:0.002662s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_zituan` [ RunTime:0.002506s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerp_chanpin_zituan` WHERE 1=1 AND chanpinID='31323' LIMIT 1   [ RunTime:0.000147s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_zituan` [ RunTime:0.002531s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_zituan` [ RunTime:0.002299s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerp_chanpin_zituan` WHERE 1=1 AND chanpinID='31324' LIMIT 1   [ RunTime:0.000123s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_zituan` [ RunTime:0.002370s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SHOW COLUMNS FROM `myerp_chanpin_zituan` [ RunTime:0.002442s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerp_chanpin_zituan` WHERE 1=1 AND chanpinID='31325' LIMIT 1   [ RunTime:0.000190s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | SQL: SELECT * FROM `myerp_chanpin` WHERE `parentID` = '31175' and `marktype` = 'zituan'  [ RunTime:0.000320s ]
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Tag[ view_template ] --START--
[ 2012-07-23T14:57:37+08:00 ] /Index.php?s=/Chanpin/kongguan | INFO: Run LocationTemplate Behavior [ RunTime:0.000842s ]
