[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000400s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000448s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003095s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000393s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003513s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000380s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002880s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '产品审核' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000286s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000259s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002945s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000356s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_om_taskshenhe` [ RunTime:0.002915s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 381 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 381 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 381 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002883s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 95 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002864s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000386s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 107 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [8] Undefined variable: whereitem MethodAction.class.php 第 108 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `myerpview_om_taskshenhe` [ RunTime:0.002853s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_taskshenhe` WHERE ( `type` = '管理' ) AND ( `status` = '待检出' ) AND ( `datatype` = '线路' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,40185,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',40185,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,40189,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',40189,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40187,') OR (`DUR` = '40150,40187,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40187,') OR (`DUR` = ',40187,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40191,') OR (`DUR` = '40178,40191,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40191,') OR (`DUR` = ',40191,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40190,') OR (`DUR` = '40150,40190,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40190,') OR (`DUR` = ',40190,40449') OR (`DUR` = ',,40449'))AND (`status_system` = '1')  [ RunTime:0.002567s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [2] Division by zero Page.class.php 第 51 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | NOTIC: [2] Division by zero Page.class.php 第 75 行.
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SELECT DISTINCT  `dataID` FROM `myerpview_om_taskshenhe` WHERE ( `type` = '管理' ) AND ( `status` = '待检出' ) AND ( `datatype` = '线路' ) AND ((`DUR` = '40150,40185,') OR (`DUR` = '40150,40185,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40185,') OR (`DUR` = ',40185,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40189,') OR (`DUR` = '40178,40189,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40189,') OR (`DUR` = ',40189,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40187,') OR (`DUR` = '40150,40187,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40187,') OR (`DUR` = ',40187,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40178,40191,') OR (`DUR` = '40178,40191,40449') OR (`DUR` = '40178,,40449') OR (`DUR` = '40178,,') OR (`DUR` = ',40191,') OR (`DUR` = ',40191,40449') OR (`DUR` = ',,40449') OR (`DUR` = '40150,40190,') OR (`DUR` = '40150,40190,40449') OR (`DUR` = '40150,,40449') OR (`DUR` = '40150,,') OR (`DUR` = ',40190,') OR (`DUR` = ',40190,40449') OR (`DUR` = ',,40449'))AND (`status_system` = '1') ORDER BY time desc LIMIT 0,20   [ RunTime:0.002507s ]
[ 2012-08-21T10:23:54+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E7%BA%BF%E8%B7%AF%E4%BA%A7%E5%93%81 | SQL: SHOW COLUMNS FROM `xianlu` [ RunTime:0.002430s ]
