[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000396s ]
[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003109s ]
[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000343s ]
[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002875s ]
[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '线路发布及控管' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000307s ]
[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000262s ]
[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002774s ]
[ 2012-08-20T14:07:50+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000299s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_om_xianlu` [ RunTime:0.007726s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 363 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 363 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 363 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined index:  _type MethodAction.class.php 第 363 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002752s ]
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 80 行.
[ 2012-08-20T14:07:51+08:00 ] /Index.php?s=/Chanpin/index/status/%E5%87%86%E5%A4%87/departmentID/40151 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002631s ]
