[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000413s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000463s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003382s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000383s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003516s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000399s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.005022s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_chanpin_baozhang` WHERE `parentID` = '31593' and `type` = '团队报账单' LIMIT 1   [ RunTime:0.000430s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhangitem` [ RunTime:0.002897s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhangitem` [ RunTime:0.002830s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_chanpin_baozhangitem` WHERE `status_system` = '1' AND parentID='31594'  [ RunTime:0.000466s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002951s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 1020 行.
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31594' and `datatype` = '报账单' and `status` = '待检出' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000529s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 899 and defined MethodAction.class.php 第 917 行.
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 919 行.
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002842s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000389s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002481s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31594 ) AND ( `datatype` = '报账单' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000746s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31594 ) AND ( `datatype` = '报账单' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,40449' ) LIMIT 1   [ RunTime:0.000709s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31594 ) AND ( `datatype` = '报账单' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000733s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31594 ) AND ( `datatype` = '报账单' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,40449' ) LIMIT 1   [ RunTime:0.000776s ]
[ 2012-08-21T11:30:59+08:00 ] /Index.php?s=/Chanpin/zituanbaozhang/type/%E5%9B%A2%E9%98%9F%E6%8A%A5%E8%B4%A6%E5%8D%95/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31594 ) AND ( `datatype` = '报账单' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,40449' ) LIMIT 1   [ RunTime:0.000774s ]
