[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003695s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000386s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003515s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000380s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003092s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000327s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 1603 and defined MethodAction.class.php 第 917 行.
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 919 行.
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.003005s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000421s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002716s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000802s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,40449' ) LIMIT 1   [ RunTime:0.000771s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000788s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,40449' ) LIMIT 1   [ RunTime:0.000793s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,40449' ) LIMIT 1   [ RunTime:0.000808s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000746s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31593 ) AND ( `datatype` = '子团' ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000742s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.003042s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000318s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.003284s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000377s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_directory` [ RunTime:0.002811s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `title` = '子团产品' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000328s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40990' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000269s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_directory` WHERE `systemID` = '40973' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000267s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_zituan` [ RunTime:0.005117s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_chanpin_zituan` WHERE `chanpinID` = '31593' LIMIT 1   [ RunTime:0.000362s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_chanpin_baozhang` [ RunTime:0.004750s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_chanpin_baozhang` WHERE `parentID` = '31593' AND `status_system` = '1' ORDER BY time desc  [ RunTime:0.002720s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_template ] --START--
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run LocationTemplate Behavior [ RunTime:0.000810s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000863s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | NOTIC: [8] Undefined index:  includeca_gp TagLib.class.php 第 122 行.
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.003289s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000372s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_template ] --START--
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run LocationTemplate Behavior [ RunTime:0.000374s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.019346s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run ParseTemplate Behavior [ RunTime:0.007517s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007577s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run ContentReplace Behavior [ RunTime:0.000520s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run TokenBuild Behavior [ RunTime:0.000612s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000502s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Run ShowRuntime Behavior [ RunTime:0.000555s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002330s ]
[ 2012-08-21T10:36:08+08:00 ] /Index.php?s=/Chanpin/zituandanxiangfuwu/chanpinID/31593 | INFO: Tag[ view_end ] --START--
