[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run TokenBuild Behavior [ RunTime:0.000511s ]
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000367s ]
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowRuntime Behavior [ RunTime:0.000517s ]
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002012s ]
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --START--
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000511s ]
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000553s ]
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002855s ]
[ 2012-07-10T09:40:14+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000305s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002790s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000293s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\ChanpinAction.class.php on line 267 and defined MethodAction.class.php 第 721 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 723 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002703s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000210s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002531s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '31175' and `datatype` = '线路' and `type` = '管理' and `DUR` = '40150,,' LIMIT 1   [ RunTime:0.000214s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.002748s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40185' LIMIT 1   [ RunTime:0.000321s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002876s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40150' LIMIT 1   [ RunTime:0.000339s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002938s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000260s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002699s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 798 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31175' and `datatype` = '线路' and `status` = '待检出' LIMIT 1   [ RunTime:0.000329s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 712 and defined MethodAction.class.php 第 721 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 723 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_system_DUR` [ RunTime:0.002711s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT * FROM `myerp_system_DUR` WHERE `userID` = '40449'  [ RunTime:0.000184s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002443s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = '40150,,' LIMIT 1   [ RunTime:0.000237s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = '40150,40185,' LIMIT 1   [ RunTime:0.000219s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = ',40185,' LIMIT 1   [ RunTime:0.000266s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = ',,40449' LIMIT 1   [ RunTime:0.000250s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = '40178,,' LIMIT 1   [ RunTime:0.000205s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = '40178,40189,' LIMIT 1   [ RunTime:0.000207s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = ',40189,' LIMIT 1   [ RunTime:0.000213s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE `dataID` = '' and `datatype` = '' and `type` = '管理' and `DUR` = ',,40449' LIMIT 1   [ RunTime:0.000220s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_template ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run LocationTemplate Behavior [ RunTime:0.000356s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.068015s ]
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Tag[ view_parse ] --START--
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | NOTIC: [8] Undefined variable: root_shenhe 1fedcd21c0a14d3ef063592e15e947ae.php 第 29 行.
[ 2012-07-10T09:40:15+08:00 ] /Index.php?s=/Chanpin/fabu/chanpinID/31175 | INFO: Run ParseTemplate Behavior [ RunTime:0.002789s ]
